Soil Moisture,Temperature,Air Humidity (%),Status
85.28,37.52,60.56,ON
58.0,28.98,71.83,ON
69.57,35.96,59.78,ON
94.82,41.53,60.77,ON
87.35,41.04,46.68,ON
30.45,22.73,69.9,ON
69.0,34.16,59.66,ON
46.97,28.13,66.95,ON
47.94,30.79,65.87,ON
58.21,34.32,48.13,ON
52.88,31.61,58.82,ON
79.09,36.75,54.6,ON
65.22,35.85,59.25,ON
52.43,32.11,51.03,ON
58.88,33.21,54.62,ON
56.67,30.79,66.53,ON
79.88,40.38,56.66,ON
45.9,29.61,56.79,ON
56.26,25.64,63.35,ON
32.92,26.16,69.79,ON
0.0,15.0,61.8,OFF
63.07,35.25,57.79,ON
67.29,34.88,57.92,ON
35.16,27.93,64.17,ON
95.4,43.42,56.47,ON
20.91,19.5,77.85,OFF
50.92,29.98,64.78,ON
46.26,31.0,58.46,ON
80.66,39.25,62.74,ON
79.39,38.59,52.55,ON
53.1,32.42,62.73,ON
57.56,32.69,68.24,ON
32.24,24.66,70.59,ON
10.38,20.85,71.55,OFF
43.04,31.02,50.23,ON
53.13,32.16,60.2,ON
74.61,36.81,54.98,ON
74.05,40.21,62.5,ON
42.25,30.04,66.18,ON
43.95,29.62,63.53,ON
29.03,21.28,71.21,OFF
21.6,21.76,63.7,OFF
15.87,18.28,72.21,OFF
89.02,41.39,55.64,ON
39.81,27.42,55.13,ON
41.24,27.57,65.18,ON
24.94,21.53,70.62,OFF
65.55,37.21,63.64,ON
17.72,16.92,72.48,OFF
45.75,30.18,66.92,ON
32.09,20.91,58.79,ON
57.74,33.09,58.28,ON
39.78,25.16,64.19,ON
26.39,24.67,63.55,OFF
49.44,30.0,61.55,ON
58.57,33.07,57.27,ON
51.33,28.36,66.66,ON
56.05,30.51,56.74,ON
37.31,26.61,64.66,ON
42.75,28.99,62.97,ON
36.55,31.82,61.63,ON
42.81,28.29,58.29,ON
33.74,27.07,70.75,ON
15.47,16.53,68.95,OFF
53.55,28.4,55.76,ON
41.96,26.88,67.88,ON
17.4,17.82,69.29,OFF
59.26,35.75,58.07,ON
31.85,23.74,65.28,ON
51.04,33.08,62.13,ON
64.58,37.35,57.32,ON
52.58,30.86,57.62,ON
72.79,37.84,50.2,ON
25.3,22.48,68.03,OFF
58.05,33.49,52.31,ON
36.3,26.86,69.48,ON
32.58,24.53,60.51,ON
38.42,27.54,59.23,ON
43.77,31.58,56.14,ON
51.12,31.76,54.13,ON
26.7,23.66,61.94,OFF
68.02,35.65,57.19,ON
59.31,30.77,49.9,ON
19.28,18.73,56.54,OFF
79.77,39.58,52.67,ON
87.92,38.64,61.24,ON
73.58,35.54,52.17,ON
46.4,31.48,60.73,ON
28.58,27.4,70.71,OFF
71.09,32.99,53.59,ON
41.94,30.83,59.31,ON
74.45,36.91,54.14,ON
54.17,31.22,65.73,ON
69.53,35.63,60.94,ON
57.13,34.3,62.51,ON
64.13,31.02,73.87,ON
